@relation repouso

@attribute Giro_x REAL
@attribute esc_x REAL
@attribute Giro_y REAL
@attribute esc_y REAL
@attribute Giro_z REAL
@attribute esc_z REAL
@attribute Acel_x REAL
@attribute esc_x2 REAL
@attribute Acel_y REAL
@attribute esc_y2 REAL
@attribute Acel_z REAL
@attribute esc_z2 REAL
@attribute Bus_x REAL
@attribute Bus_y REAL
@attribute movimento {repouso, leves, caminhada, monta}

@data
-15300,-0.947509765625,-3096,-0.2109375,2996,0.1748046875,-972,-972,276,2,162,1,-12.3068428243,73.976635459,leves
-14956,-0.909912109375,-4268,-0.252197265625,3688,0.225341796875,-922,-922,-160,-2,-348,-3,-15.0707554342,68.9023470623,leves
-15376,-0.94970703125,-3568,-0.21923828125,3280,0.204345703125,-160,-160,257,1,39,0,-12.9045994474,72.842980818,leves
-15464,-0.935791015625,-3276,-0.214599609375,3784,0.20556640625,-129,-129,409,3,-36,-1,-10.9589349689,72.6454446059,leves
-15436,-0.93359375,-3812,-0.21533203125,3372,0.2158203125,-21,-21,3,0,83,0,-12.9362274698,72.3114700732,leves
-15440,-0.947265625,-3772,-0.234375,3108,0.21484375,-9,-9,223,1,-151,-2,-12.9335235166,72.6439989658,leves
-15536,-0.939208984375,-3908,-0.23095703125,3224,0.188232421875,-170,-170,-8,-1,37,0,-13.543891093,71.375203195,leves
-14856,-0.9033203125,-4464,-0.2685546875,3784,0.220703125,3165,3165,1593,12,-16,-1,-16.1533915389,68.3817340897,leves
-13780,-0.843017578125,-1700,-0.08544921875,4076,0.215576171875,-109,-109,-2469,-19,2630,20,-4.59427012924,74.8953507809,caminhada
-14880,-0.9365234375,-2520,-0.166748046875,4864,0.300048828125,3728,3728,3026,23,192,1,-11.4046717318,66.8329854376,caminhada
-11964,-0.73291015625,-1436,-0.086181640625,4780,0.299560546875,494,494,-235,-2,268,2,-4.42937233658,66.9492633781,caminhada
-15024,-0.91015625,-1724,-0.111083984375,3056,0.18115234375,2021,2021,2991,22,28,0,-6.35150043445,76.7472429658,caminhada
-19504,-1.20263671875,-2496,-0.151611328125,4888,0.32421875,305,305,1060,8,-2540,-20,-7.42339239827,72.5607218922,caminhada
-17072,-1.03466796875,-3684,-0.22607421875,4384,0.260986328125,-2735,-2735,696,5,-1754,-14,-11.7124918073,71.2546853794,caminhada
-18364,-1.12182617188,-2864,-0.211669921875,3324,0.206787109375,-3535,-3535,421,3,-1028,-8,-10.6013769372,73.3624515762,caminhada
